sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Abarema brachystachya;Abarema brachystachya;Fabaceae;Abarema;species;tree;0.537852445;12;0.229852848;zoochoric;NA;
Abarema cochliocarpos;Abarema cochliacarpos;Fabaceae;Abarema;species;tree;0.578571037;30;0.229852848;zoochoric;2;
Abarema langsdorfii;Abarema langsdorffii;Fabaceae;Abarema;species;tree;0.513;21;0.04951667;zoochoric;2;
Abrus precatorius;Abrus precatorius;Fabaceae;Abrus;species;NA;0.68965031;NA;0.0839;autochoric|zoochoric;NA;liana mimetic seeds
Abuta selloana;Abuta selloana;Menispermaceae;Abuta;species;others;0.45;4;0.8645;zoochoric;NA;liana
Abutilon sp.;Abutilon sp.;Malvaceae;Abutilon;NA;NA;NA;NA;NA;autochoric;NA;
Abutilon sp.1;Abutilon sp.;Malvaceae;Abutilon;NA;NA;NA;NA;NA;autochoric;NA;
Acacia mangium;Acacia mangium;Fabaceae;Acacia;genus;tree;0.85;NA;0.012434783;autochoric|zoochoric;NA;arilated seeds
Acacia mearnsii;Acacia mearnsii;Fabaceae;Acacia;genus;tree;0.85;30;0.013450066;autochoric|zoochoric;NA;arilated seeds
Acnistus arborescens;Acnistus arborescens;Solanaceae;Acnistus;species;tree;0.501843042;9;NA;zoochoric;2;
Acosmium bijugum;Leptolobium bijugum;Fabaceae;Leptolobium;species;tree;0.739818182;12;0.050636482;anemochoric;NA;
Acrocomia aculeata;Acrocomia aculeata;Arecaceae;Acrocomia;species;tree;0.781;19;10.67307587;zoochoric;1;
Actinostemon concepcionis;Actinostemon concepcionis;Euphorbiaceae;Actinostemon;species;tree;0.907;8;0.017241379;autochoric;3;
Actinostemon concolor;Actinostemon concolor;Euphorbiaceae;Actinostemon;species;tree;0.907;15;0.017241379;autochoric;3;
Actinostemon sp.;Actinostemon sp.;Euphorbiaceae;Actinostemon;NA;NA;NA;NA;NA;autochoric;NA;mirmeco?
Actinostemon sp.1;Actinostemon sp.;Euphorbiaceae;Actinostemon;NA;NA;NA;NA;NA;autochoric;NA;mirmeco?
Adenocalymma comosum;Adenocalymma comosum;Bignoniaceae;Adenocalymma;species;NA;0.700749342;NA;NA;anemochoric;NA;
Adenocalymma neoflavidum;Adenocalymma neoflavidum;Bignoniaceae;Adenocalymma;genus;others;0.700749342;NA;NA;anemochoric;NA;
Adenocalymma peregrinum;Adenocalymma peregrinum;Bignoniaceae;Adenocalymma;species;NA;0.700749342;NA;NA;anemochoric;NA;
Adenocalymma sp.;Adenocalymma sp.;Bignoniaceae;Adenocalymma;NA;NA;NA;NA;NA;anemochoric;NA;
Adenocalymma sp.1;Adenocalymma sp.;Bignoniaceae;Adenocalymma;NA;NA;NA;NA;NA;anemochoric;NA;
Adenophaedra sp.;Adenophaedra sp.;Euphorbiaceae;Adenophaedra;NA;NA;NA;NA;NA;autochoric;NA;
Adenophaedra sp.1;Adenophaedra sp.;Euphorbiaceae;Adenophaedra;NA;NA;NA;NA;NA;autochoric;NA;
Adenophaedra sp.2;Adenophaedra sp.;Euphorbiaceae;Adenophaedra;NA;NA;NA;NA;NA;autochoric;NA;
Aechmea apocalyptica;Aechmea apocalyptica;Bromeliaceae;Aechmea;species;NA;NA;NA;0.001124753;zoochoric;NA;
Aechmea glandulosa;Aechmea glandulosa;Bromeliaceae;Aechmea;species;NA;NA;NA;0.001124753;zoochoric;NA;
Aegiphila integrifolia;Aegiphila integrifolia;Lamiaceae;Aegiphila;species;tree;0.4859;15;0.015731154;zoochoric;1;
Aegiphila sellowiana;Aegiphila integrifolia;Lamiaceae;Aegiphila;species;tree;0.4859;15;0.015731154;zoochoric;1;
Aegiphila verticillata;Aegiphila verticillata;Lamiaceae;Aegiphila;species;tree;0.59375;10;0.066848155;zoochoric;1;
Ageratum conyzoides;Ageratum conyzoides;Asteraceae;Ageratum;species;NA;0.530140648;NA;0.0001288;anemochoric|autochoric;NA;
Albizia niopoides;Albizia niopoides;Fabaceae;Albizia;species;tree;0.576;19;0.026851852;anemochoric|autochoric;2;
Albizia pedicellaris;Albizia pedicellaris;Fabaceae;Albizia;species;tree;0.512142857;40;0.028571429;zoochoric;3;
Albizia polycephala;Albizia polycephala;Fabaceae;Albizia;species;tree;0.604;25;0.0390625;anemochoric;2;
Alchornea glandulosa;Alchornea glandulosa;Euphorbiaceae;Alchornea;species;tree;0.387385834;25;0.032664103;zoochoric;1;
Alchornea sidifolia;Alchornea sidifolia;Euphorbiaceae;Alchornea;species;tree;0.325;30;0.01448235;zoochoric;2;
Alchornea sp.;Alchornea sp.;Euphorbiaceae;Alchornea;NA;NA;NA;NA;NA;zoochoric;NA;
Alchornea sp.1;Alchornea sp.;Euphorbiaceae;Alchornea;NA;NA;NA;NA;NA;zoochoric;NA;
Alchornea triplinervia;Alchornea triplinervia;Euphorbiaceae;Alchornea;species;tree;0.424935595;30;0.058980838;zoochoric;2;
Alibertia edulis;Alibertia edulis;Rubiaceae;Alibertia;species;tree;0.6525;10;0.226849067;zoochoric;2;
Alicia anisopetala;Alicia anisopetala;Malpighiaceae;Alicia;species;NA;0.633954639;NA;NA;anemochoric;NA;
Allagoptera caudescens;Allagoptera caudescens;Arecaceae;Allagoptera;species;tree;0.6;14;4;zoochoric;2;
Allophylus edulis;Allophylus edulis;Sapindaceae;Allophylus;species;tree;0.57725;19;0.065911459;zoochoric;2;
Allophylus guaraniticus;Allophylus guaraniticus;Sapindaceae;Allophylus;species;tree;0.555473684;14;0.085734441;zoochoric;3;
Allophylus laevigatus;Allophylus puberulus;Sapindaceae;Allophylus;species;tree;0.555473684;16;0.085734441;zoochoric;2;
Allophylus racemosus;Allophylus racemosus;Sapindaceae;Allophylus;species;tree;0.5795;16;0.088640079;zoochoric;2;
Aloysia virgata;Aloysia virgata;Verbenaceae;Aloysia;species;tree;0.6;12;0.000149925;anemochoric;1;
Alseis sp.;Alseis sp.;Rubiaceae;Alseis;NA;NA;NA;NA;NA;zoochoric;NA;
Amaioua guianensis;Amaioua guianensis;Rubiaceae;Amaioua;species;tree;0.634728571;17;0.04626923;zoochoric;2;
Amaioua intermedia;Amaioua intermedia;Rubiaceae;Amaioua;species;tree;0.640037684;20;0.04626923;zoochoric;2;
Amaioua sp.;Amaioua sp.;Rubiaceae;Amaioua;NA;NA;NA;NA;NA;zoochoric;NA;
Amaioua sp.1;Amaioua sp.;Rubiaceae;Amaioua;NA;NA;NA;NA;NA;zoochoric;NA;
Amaranthaceae sp.;Amaranthaceae sp.;Amaranthaceae;Amaranthaceae;NA;NA;NA;NA;NA;NA;NA;
Amaranthaceae sp.1;Amaranthaceae sp.;Amaranthaceae;Amaranthaceae;NA;NA;NA;NA;NA;NA;NA;
Amphilophium crucigerum;Amphilophium crucigerum;Bignoniaceae;Amphilophium;species;others;0.700749342;NA;0.057395;anemochoric;NA;
Amphilophium elongatum;Amphilophium elongatum;Bignoniaceae;Amphilophium;species;NA;0.700749342;NA;0.057395;anemochoric;NA;
Amphilophium paniculatum;Amphilophium paniculatum;Bignoniaceae;Amphilophium;species;NA;0.700749342;NA;0.057395;anemochoric;NA;
Anacardiaceae sp.;Anacardiaceae sp.;Anacardiaceae;Anacardiaceae;NA;NA;NA;NA;NA;NA;NA;
Anacardiaceae sp.1;Anacardiaceae sp.;Anacardiaceae;Anacardiaceae;NA;NA;NA;NA;NA;NA;NA;
Anacardiaceae sp.2;Anacardiaceae sp.;Anacardiaceae;Anacardiaceae;NA;NA;NA;NA;NA;NA;NA;
Anadenanthera colubrina;Anadenanthera colubrina;Fabaceae;Anadenanthera;species;tree;0.838866667;29;0.11004446;anemochoric|autochoric;2;
Anadenanthera peregrina;Anadenanthera peregrina;Fabaceae;Anadenanthera;species;tree;0.77375;22;0.083962914;anemochoric;2;
Anadenanthera sp.;Anadenanthera sp.;Fabaceae;Anadenanthera;NA;NA;NA;NA;NA;autochoric;NA;
Anadenanthera sp.1;Anadenanthera sp.;Fabaceae;Anadenanthera;NA;NA;NA;NA;NA;autochoric;NA;
Anaxagorea dolichocarpa;Anaxagorea dolichocarpa;Annonaceae;Anaxagorea;species;tree;0.58;12;0.089263071;zoochoric;3;
Anchietea pyrifolia;Anchietea pyrifolia;Violaceae;Anchietea;species;others;0.65148;NA;NA;anemochoric;NA;liana
Anchietea sp.;Anchietea sp.;Violaceae;Anchietea;NA;NA;NA;NA;NA;anemochoric;NA;
Anchietea sp.1;Anchietea sp.;Violaceae;Anchietea;NA;NA;NA;NA;NA;anemochoric;NA;
Andira nitida;Andira nitida;Fabaceae;Andira;species;tree;0.84;25;2.860920122;zoochoric;2;
Andira sp.;Andira sp.;Fabaceae;Andira;NA;NA;NA;NA;NA;zoochoric;NA;
Andira sp.1;Andira sp.;Fabaceae;Andira;NA;NA;NA;NA;NA;zoochoric;NA;
Andropogon bicornis;Andropogon bicornis;Poaceae;Andropogon;species;NA;NA;NA;0.0001396;anemochoric;NA;
Anemopaegma sp.;Anemopaegma sp.;Bignoniaceae;Anemopaegma;NA;NA;NA;NA;NA;anemochoric;NA;
Anemopaegma sp.1;Anemopaegma sp.;Bignoniaceae;Anemopaegma;NA;NA;NA;NA;NA;anemochoric;NA;
